@relation 'twitter-loc-most200-weka.filters.unsupervised.attribute.Remove-R2_predicted-weka.filters.unsupervised.attribute.Remove-R2-202,204'

@attribute tweet-id numeric
@attribute 'predicted class' {NewYork,California,Georgia}

@data
32,NewYork
33,NewYork
34,NewYork
35,NewYork
36,NewYork
37,NewYork
38,NewYork
39,NewYork
40,NewYork
41,NewYork
42,NewYork
43,NewYork
44,NewYork
45,NewYork
46,NewYork
47,NewYork
48,NewYork
49,NewYork
50,NewYork
51,NewYork
52,California
53,California
54,NewYork
55,NewYork
56,California
57,NewYork
58,Georgia
115,NewYork
116,NewYork
117,California
118,NewYork
119,NewYork
120,NewYork
121,Georgia
122,NewYork
123,Georgia
124,NewYork
125,NewYork
126,NewYork
127,NewYork
128,California
129,Georgia
130,NewYork
131,NewYork
132,NewYork
133,NewYork
134,Georgia
214,NewYork
215,Georgia
216,California
217,NewYork
218,NewYork
219,NewYork
220,NewYork
221,NewYork
222,NewYork
223,NewYork
224,NewYork
225,NewYork
226,NewYork
227,California
228,NewYork
229,NewYork
230,NewYork
231,NewYork
232,California
233,Georgia
234,NewYork
260,NewYork
261,California
262,Georgia
263,NewYork
264,California
265,California
266,Georgia
267,Georgia
268,NewYork
269,NewYork
270,NewYork
271,NewYork
272,NewYork
273,Georgia
274,NewYork
275,Georgia
276,Georgia
277,Georgia
278,NewYork
279,NewYork
280,NewYork
281,Georgia
282,Georgia
283,NewYork
284,NewYork
285,NewYork
286,NewYork
287,Georgia
288,NewYork
289,NewYork
290,NewYork
291,NewYork
292,NewYork
293,California
294,NewYork
295,NewYork
296,NewYork
297,NewYork
298,Georgia
299,Georgia
300,California
301,California
302,NewYork
303,NewYork
304,NewYork
305,NewYork
306,NewYork
307,NewYork
308,NewYork
309,NewYork
310,Georgia
311,NewYork
312,NewYork
313,NewYork
314,NewYork
315,Georgia
316,NewYork
317,NewYork
318,NewYork
319,NewYork
320,California
321,NewYork
322,NewYork
323,NewYork
324,NewYork
325,NewYork
326,Georgia
327,California
328,NewYork
329,NewYork
330,NewYork
331,Georgia
332,NewYork
333,NewYork
334,NewYork
335,NewYork
336,NewYork
337,NewYork
338,NewYork
339,NewYork
340,NewYork
341,NewYork
342,NewYork
343,NewYork
344,NewYork
345,NewYork
346,NewYork
347,NewYork
348,NewYork
349,NewYork
350,NewYork
351,NewYork
352,Georgia
353,NewYork
354,NewYork
355,California
356,NewYork
357,NewYork
358,NewYork
359,NewYork
360,Georgia
361,NewYork
362,NewYork
363,NewYork
364,NewYork
365,NewYork
366,NewYork
367,NewYork
368,Georgia
369,NewYork
370,Georgia
371,Georgia
372,NewYork
373,Georgia
374,NewYork
375,NewYork
376,NewYork
377,NewYork
378,NewYork
379,NewYork
380,NewYork
381,NewYork
382,Georgia
383,Georgia
384,NewYork
385,NewYork
386,NewYork
387,NewYork
388,NewYork
389,NewYork
390,NewYork
391,NewYork
392,NewYork
393,NewYork
394,Georgia
395,NewYork
396,NewYork
397,NewYork
398,NewYork
399,Georgia
400,NewYork
401,Georgia
402,NewYork
403,Georgia
404,NewYork
405,NewYork
406,NewYork
407,NewYork
408,NewYork
409,NewYork
410,NewYork
411,NewYork
412,NewYork
413,Georgia
414,NewYork
415,NewYork
416,NewYork
417,Georgia
418,Georgia
419,California
420,Georgia
421,NewYork
422,Georgia
534,NewYork
535,NewYork
536,NewYork
537,NewYork
538,NewYork
539,NewYork
540,NewYork
541,NewYork
542,NewYork
543,NewYork
544,NewYork
545,NewYork
546,California
547,NewYork
548,NewYork
549,NewYork
550,NewYork
