tweet-id,class
32,NewYork
33,NewYork
34,NewYork
35,NewYork
36,NewYork
37,California
38,NewYork
39,NewYork
40,NewYork
41,California
42,NewYork
43,NewYork
44,NewYork
45,NewYork
46,California
47,NewYork
48,NewYork
49,NewYork
50,NewYork
51,California
52,NewYork
53,NewYork
54,NewYork
55,NewYork
56,Georgia
57,NewYork
58,NewYork
115,NewYork
116,California
117,NewYork
118,California
119,NewYork
120,NewYork
121,NewYork
122,NewYork
123,NewYork
124,California
125,Georgia
126,California
127,California
128,California
129,NewYork
130,NewYork
131,NewYork
132,California
133,NewYork
134,Georgia
214,California
215,California
216,California
217,California
218,California
219,NewYork
220,California
221,California
222,NewYork
223,California
224,NewYork
225,NewYork
226,California
227,California
228,California
229,California
230,California
231,NewYork
232,NewYork
233,NewYork
234,California
260,California
261,NewYork
262,NewYork
263,California
264,NewYork
265,California
266,California
267,Georgia
268,NewYork
269,California
270,California
271,California
272,NewYork
273,California
274,California
275,NewYork
276,California
277,NewYork
278,California
279,Georgia
280,California
281,California
282,California
283,California
284,Georgia
285,California
286,California
287,NewYork
288,NewYork
289,California
290,NewYork
291,California
292,California
293,NewYork
294,California
295,NewYork
296,California
297,NewYork
298,NewYork
299,NewYork
300,California
301,NewYork
302,NewYork
303,California
304,California
305,Georgia
306,California
307,California
308,California
309,NewYork
310,California
311,Georgia
312,California
313,Georgia
314,California
315,California
316,California
317,NewYork
318,California
319,California
320,California
321,California
322,California
323,California
324,NewYork
325,California
326,NewYork
327,NewYork
328,California
329,California
330,Georgia
331,NewYork
332,California
333,California
334,California
335,Georgia
336,California
337,NewYork
338,NewYork
339,California
340,California
341,California
342,NewYork
343,California
344,NewYork
345,California
346,California
347,California
348,California
349,NewYork
350,California
351,California
352,NewYork
353,California
354,NewYork
355,NewYork
356,NewYork
357,Georgia
358,NewYork
359,NewYork
360,NewYork
361,NewYork
362,NewYork
363,California
364,NewYork
365,California
366,NewYork
367,California
368,California
369,NewYork
370,NewYork
371,California
372,NewYork
373,Georgia
374,Georgia
375,California
376,NewYork
377,NewYork
378,California
379,California
380,California
381,California
382,California
383,California
384,California
385,California
386,California
387,California
388,Georgia
389,Georgia
390,California
391,California
392,California
393,California
394,NewYork
395,Georgia
396,NewYork
397,California
398,California
399,California
400,California
401,California
402,Georgia
403,NewYork
404,California
405,California
406,California
407,NewYork
408,California
409,California
410,California
411,California
412,California
413,California
414,California
415,Georgia
416,California
417,NewYork
418,California
419,California
420,NewYork
421,NewYork
422,NewYork
534,California
535,California
536,Georgia
537,NewYork
538,California
539,California
540,California
541,NewYork
542,Georgia
543,California
544,California
545,California
546,California
547,California
548,California
549,NewYork
550,California
551,California
552,California
553,California
554,California
555,Georgia
556,California
557,California
558,California
559,California
560,Georgia
561,California
562,NewYork
563,California
564,California
723,NewYork
724,NewYork
725,California
726,NewYork
727,NewYork
728,NewYork
729,California
730,NewYork
731,NewYork
732,NewYork
733,Georgia
734,NewYork
735,NewYork
736,NewYork
737,NewYork
738,NewYork
739,NewYork
740,NewYork
741,NewYork
742,Georgia
743,Georgia
744,Georgia
745,Georgia
771,Georgia
772,California
773,Georgia
774,California
775,Georgia
776,NewYork
777,Georgia
778,NewYork
779,Georgia
780,NewYork
781,Georgia
782,California
783,Georgia
784,NewYork
785,NewYork
786,NewYork
787,Georgia
788,NewYork
789,Georgia
790,Georgia
791,NewYork
792,California
793,NewYork
794,California
795,NewYork
796,NewYork
797,Georgia
820,NewYork
821,NewYork
822,Georgia
823,California
824,Georgia
825,NewYork
826,NewYork
